id,name,amenityName,geometry
2351681766,,Drinking_water,POINT(-122.489419623036 37.712428800669)
3833126992,,Toilets,POINT(-122.489586889342 37.7124393893385)
1205459563,Brandeis Hillel Day School,School,POINT(-122.475606139081 37.7132275658515)
1205459527,Holy Trinity Greek Orthodox Church,Place_of_worship,POINT(-122.48090458229 37.7133685569612)
