Text,Number,Location,Date
,,"50.743, 6.095",
,,"50.773, 6.040",
,,"50.776, 6.090",
,,"50.806, 6.189",
,,"50.751, 6.128",
,,"50.770, 6.133",
,,"50.814, 6.157",
,,"50.802, 6.181",
,,"50.773, 6.080",
,,"50.777, 6.090",
,,"50.780, 6.083",
,,"50.781, 6.122",
,,"50.792, 6.132",
,,"50.755, 6.190",
,,"50.771, 6.084",
,,"50.774, 6.089",
,,"50.774, 6.089",
,,"50.790, 6.166",
,,"50.776, 6.094",
,,"50.772, 6.133",
,,"50.769, 6.095",
,,"50.768, 6.089",
,,"50.786, 6.072",
,,"50.779, 6.047",
,,"50.777, 6.090",
,,"50.777, 6.090",
,,"50.776, 6.091",
,,"50.762, 6.151",
,,"50.773, 6.013",
,,"50.773, 6.014",
,,"50.763, 6.096",
,,"50.774, 6.080",
,,"50.766, 6.110",
,,"50.770, 6.085",
,,"50.771, 6.088",
,,"50.772, 6.075",
,,"50.771, 6.020",
,,"50.771, 6.019",
,,"50.787, 6.071",
,,"50.776, 6.048",
,,"50.774, 6.100",
,,"50.788, 6.049",
,,"50.783, 6.073",
,,"50.775, 6.083",
,,"50.773, 6.077",
,,"50.774, 6.084",
,,"50.773, 6.086",
,,"50.776, 6.086",
,,"50.776, 6.089",
,,"50.777, 6.088",
,,"50.778, 6.084",
,,"50.773, 6.076",
,,"50.785, 6.085",
,,"50.773, 6.074",
,,"50.772, 6.083",
,,"50.771, 6.065",
,,"50.790, 6.138",
,,"50.771, 6.064",
,,"50.775, 6.086",
,,"50.779, 6.058",
,,"50.781, 6.091",
,,"50.751, 6.110",
,,"50.775, 6.039",
,,"50.773, 6.076",
,,"50.772, 6.038",
,,"50.773, 6.038",
,,"50.774, 6.039",
,,"50.774, 6.037",
,,"50.774, 6.036",
,,"50.774, 6.038",
,,"50.774, 6.037",
,,"50.784, 6.068",
,,"50.784, 6.068",
,,"50.774, 6.040",
,,"50.782, 6.074",
,,"50.769, 6.057",
,,"50.773, 6.066",
,,"50.768, 6.066",
,,"50.767, 6.063",
,,"50.771, 6.067",
,,"50.769, 6.079",
,,"50.773, 6.079",
,,"50.776, 6.080",
,,"50.782, 6.071",
,,"50.787, 6.075",
,,"50.781, 6.087",
,,"50.779, 6.089",
,,"50.771, 6.086",
,,"50.762, 6.088",
,,"50.771, 6.060",
,,"50.770, 6.028",
,,"50.771, 6.038",
,,"50.771, 6.039",
,,"50.774, 6.041",
,,"50.773, 6.037",
,,"50.773, 6.036",
,,"50.773, 6.035",
,,"50.773, 6.036",
,,"50.771, 6.061",
,,"50.773, 6.043",
,,"50.773, 6.043",
,,"50.773, 6.021",
,,"50.783, 6.081",
,,"50.774, 6.094",
,,"50.769, 6.056",
,,"50.773, 6.036",
,,"50.769, 6.067",
,,"50.768, 6.089",
,,"50.780, 6.096",
,,"50.774, 6.042",
,,"50.772, 6.061",
,,"50.768, 6.078",
,,"50.768, 6.077",
,,"50.780, 6.093",
,,"50.781, 6.093",
,,"50.777, 6.090",
,,"50.763, 6.049",
,,"50.800, 6.110",
,,"50.773, 6.085",
,,"50.768, 6.100",
,,"50.769, 6.098",
,,"50.769, 6.099",
,,"50.767, 6.102",
,,"50.767, 6.100",
,,"50.767, 6.100",
,,"50.768, 6.098",
,,"50.769, 6.098",
,,"50.767, 6.099",
,,"50.768, 6.101",
,,"50.768, 6.099",
,,"50.773, 6.085",
,,"50.768, 6.099",
,,"50.769, 6.097",
,,"50.768, 6.099",
,,"50.769, 6.098",
,,"50.768, 6.098",
,,"50.767, 6.096",
,,"50.768, 6.098",
,,"50.768, 6.101",
,,"50.768, 6.098",
,,"50.767, 6.101",
,,"50.769, 6.098",
,,"50.767, 6.097",
,,"50.769, 6.099",
,,"50.769, 6.098",
,,"50.768, 6.097",
,,"50.768, 6.097",
,,"50.769, 6.099",
,,"50.768, 6.102",
,,"50.768, 6.100",
,,"50.768, 6.097",
,,"50.767, 6.095",
,,"50.768, 6.098",
,,"50.769, 6.099",
,,"50.768, 6.100",
,,"50.767, 6.096",
,,"50.769, 6.099",
,,"50.773, 6.085",
,,"50.768, 6.097",
,,"50.768, 6.097",
,,"50.774, 6.086",
,,"50.767, 6.100",
,,"50.767, 6.096",
,,"50.768, 6.102",
,,"50.768, 6.098",
,,"50.768, 6.098",
,,"50.768, 6.102",
,,"50.767, 6.099",
,,"50.768, 6.101",
,,"50.768, 6.101",
,,"50.768, 6.098",
,,"50.768, 6.101",
,,"50.768, 6.100",
